eventnum,trial,uniqueid,time,event
1,3,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,36496,fullscreenenter
2,4,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,41069,fullscreenexit
3,124,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,774753,blur
4,124,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,791923,focus
5,149,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,915527,blur
6,149,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,945068,focus
1,3,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,35009,fullscreenenter
1,1,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,7632,blur
2,2,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,13898,focus
3,3,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,21484,fullscreenenter
4,46,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,317924,fullscreenexit
5,48,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,335050,blur
6,48,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,344463,focus
7,48,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,352587,blur
8,48,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,365641,focus
9,116,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,949504,blur
10,116,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,954241,focus
11,171,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,1345847,blur
12,171,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,1351249,focus
13,202,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,1529718,blur
14,202,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,1537306,focus
15,237,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,1756178,blur
16,237,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,1764625,focus
1,1,A11MCPY8W4U6FL:3TPWUS5F8AJRJONNFUTEEK99BIUWC7,9375,blur
2,3,A11MCPY8W4U6FL:3TPWUS5F8AJRJONNFUTEEK99BIUWC7,36748,focus
3,3,A11MCPY8W4U6FL:3TPWUS5F8AJRJONNFUTEEK99BIUWC7,36903,fullscreenenter
4,4,A11MCPY8W4U6FL:3TPWUS5F8AJRJONNFUTEEK99BIUWC7,46108,blur
5,4,A11MCPY8W4U6FL:3TPWUS5F8AJRJONNFUTEEK99BIUWC7,50192,focus
1,1,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,8245,blur
2,3,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,45686,focus
3,3,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,46603,blur
4,3,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,47610,focus
5,3,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,47920,fullscreenenter
6,3,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,48499,blur
7,4,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,59996,focus
1,3,A12A5GVJX5RZC4:3X87C8JFV7T268GX07K810V54DZSQA,24528,fullscreenenter
1,3,A12ASB8854TT4:3KOPY89HM9KH04R5F2ZYWRB71F8J3B,18313,fullscreenexit
2,202,A12ASB8854TT4:3KOPY89HM9KH04R5F2ZYWRB71F8J3B,1060861,fullscreenexit
3,202,A12ASB8854TT4:3KOPY89HM9KH04R5F2ZYWRB71F8J3B,1063400,blur
4,202,A12ASB8854TT4:3KOPY89HM9KH04R5F2ZYWRB71F8J3B,1077697,focus
1,3,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,75651,blur
2,3,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,98809,focus
3,3,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,103977,fullscreenenter
4,153,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,747171,blur
5,153,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,761009,focus
1,3,A15KQ2ZZ701NMK:3OVR4I9USQ1J4NEMA6OQ3XFZV3I4QI,32835,fullscreenenter
1,0,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN,0,blur
2,0,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN,0,focus
3,0,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN,4062,blur
4,0,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN,4408,focus
5,3,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN,25018,fullscreenenter
1,0,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ,0,focus
2,3,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ,35090,fullscreenenter
3,4,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ,44587,fullscreenexit
4,4,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ,45161,blur
