fade_in_time,stimulus_alpha,fade_out_length,trial_index,animation_performance,button_pressed,within_ITI,bProblem,timing_post_trial,question,time_elapsed,stimulus_side,sProblem,internal_node_id,key_press,rt,responses,Trial,uniqueid,timing_response,reverse,acc,trial_type,trial_began,success,stimulus,train_repeats,fade_out_time,Subject
1,0.4,5,0,"{u'stim_duration': [0, None], u'mond_duration': [119, 183], u'nums': [0, 1]}",,900,1,100,,9567,0,0,0.0-0.0-0.0,-1,-1,,1,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,4,,0,bRMS-test,1531842145019,,../static/images/m193.jpg,1,15,1
1,0.4,5,1,"{u'stim_duration': [0, None], u'mond_duration': [95, 205], u'nums': [0, 1]}",,900,1,100,,18666,0,0,0.0-0.0-1.0,-1,-1,,2,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,4,,0,bRMS-test,1531842155064,,../static/images/m167.jpg,1,15,1
1,0.4,5,2,"{u'stim_duration': [None], u'mond_duration': [217], u'nums': [0]}",,900,0,100,,27457,1,0,0.0-0.0-2.0,-1,-1,,3,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,4,,0,bRMS-test,1531842163627,,../static/images/m179.jpg,1,15,1
,,,3,,,,,,,37426,,,0.0-2.0,,,,4,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,fullscreen,,True,,1,,1
,,,4,,,,,,,43034,,,0.0-3.0-0.0,32,5602,,5,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class='center'>Welcome to the study!<br>     <p>Your participation will help us investigate human precision and reaction-times in dynamic environments.</p>    <p>Please read the instructions carefully.</p>    <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,1
,,,5,,,,,,,68193,,,0.0-3.0-1.0,32,25156,,6,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class='center'><p>We will begin by calibrating the experiment       for the size of your screen.</p>      <p>After this short calibration, we will continue to the main task for       this study.</p>      <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,1
,,,6,,,,,,,71783,,,0.0-3.0-2.0,32,3587,,7,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class='center'><p>For the calibration stage, you will need a coin.</p>      <p>Any US coin will do.</p>      <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,1
,,,7,,,,,,,81559,,,0.0-3.0-3.0,32,9776,,8,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class='center'><img src='/static/images/coin_demo.jpg' height='400'></img>      <p>You will be asked to position the coin      as shown in the picture. You will place it against your screen,      within an empty circle presented to you.</p>      <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,1
,,,8,,,,,,,83167,,,0.0-3.0-4.0,32,1605,,9,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class='center'><p>Using the up and down arrow keys,       you will then adjust the size of the empty circle, so that it matches the       size of your coin.</p>      <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,1
,,,9,,,,,,,85719,,,0.0-3.0-5.0,32,2550,,10,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class='center'><p>Take your time in doing so, as this measurement      will be used throughout the study to make sure images are presented to       you in their correct size.</p>      <p>When you are done adjusting the circle size, press the space bar to       continue to the main task.      <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,1
,,,10,,,,,,,86855,,,0.0-3.0-6.0,32,1135,,11,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class='center'><p>Please have a coin at hand.</p>      <p>Press the space bar to start the calibration stage.</p></div>""]",1,,1
,,,11,,2,,,,,98928,,,0.0-4.0-0.0-0.0,,12068,,12,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-button-response,,,"Using the mouse, select the coin you would like to use:",1,,1
,,,12,,,,,,,106176,,,0.0-4.0-0.0-1.0-0.0,32,7176,,13,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"<svg style=""block: inline"" width=""800"" height=""300"">  <circle cx=""200"" cy=""214.186"" r=""35.814"" stroke=""black"" stroke-width=""2"" fill=""grey"" />  <line x1=""0"" y1=""250"" x2=""1000"" y2=""250"" style=""stroke:black;stroke-width:2"" />  <image x=""564.186"" y=""178.372"" width=""71.628"" height=""71.628"" style:""block: inline"" xlink:href=""/static/images/Dime.png""></image>    <circle cx=""600"" cy=""214.186"" r=""35.814"" stroke=""black"" stroke-width=""2"" fill-opacity=""0"" /></svg>",1,,1
,,,13,,,,,,,109095,,,0.0-4.0-1.0,32,2911,,14,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"<svg style=""block: inline"" width=""800"" height=""300"">  <circle cx=""200"" cy=""214.186"" r=""35.814"" stroke=""red"" stroke-width=""2"" fill=""grey"" />  <line x1=""0"" y1=""250"" x2=""1000"" y2=""250"" style=""stroke:red;stroke-width:2"" />  <image x=""564.186"" y=""178.372"" width=""71.628"" height=""71.628"" style:""block: inline"" xlink:href=""/static/images/Dime.png""></image>    <circle cx=""600"" cy=""214.186"" r=""35.814"" stroke=""red"" stroke-width=""2"" fill-opacity=""0"" /></svg>",1,,1
,,,14,,,,,,,110143,,,0.0-5.0-0.0,32,1045,,15,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<p>We will now continue to the main task.</p>    <p align='center'><i>Press the space bar to continue.</i></p>""]",1,,1
,,,15,,,,,,,110663,,,0.0-5.0-1.0,32,518,,16,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class = 'center'><p>You will be presented with rapidly       changing patterns of rectangles. Through these rectangles, male faces will appear. Your task will be to indicate the location of       the faces, or any part of them, as soon as they appear.</p>      <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,1
,,,16,,,,,,,111095,,,0.0-5.0-2.0,32,429,,17,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class = 'center'><p>If a man's face appeared in the right half       of the screen, press the right key. If a man's face appeared in the left half       of the screen, press the left key.</p>      <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,1
,,,17,,,,,,,111463,,,0.0-5.0-3.0,32,366,,18,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class = 'center'><p>Please perform this task as accurately       and quickly as you can.</p>      <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,1
,,,18,,,,,,,111824,,,0.0-5.0-4.0,32,359,,19,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class = 'center'><p>During the task, please focus your gaze at       the plus sign in the middle.<br>Even though the faces appear to the left        and right of the plus sign, it is important that you look at the plus         sign at all times.</p>        <p align='center'></i>Press the space bar to continue.</i></p></div>""]",1,,1
,,,19,,,,,,,124216,,,0.0-5.0-5.0,75,12389,,20,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class='center'>      <img src='/static/images/keys.jpg'></img>      <p>Place your fingers on the 'D' and 'K' keys as shown in the picture,       and press either one of these keys to continue.</p></div>""]",1,,1
,,,20,,,,,,,124221,,,0.0-6.0-0.0,,,,21,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,,1,,1
,,,46,,,,,,,313583,,,0.0-7.0-0.0,75,2357,,22,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class = 'center'><p>You have completed the practice block.</p>  <p>You will now continue with the same task. The task may now be more   difficult.  You will have 3 short breaks. </p>    <p>Press either the 'D' or the 'K' keys to continue.</p></div>""]",1,,1
,,,47,,,,,,,315744,,,0.0-7.0-1.0,75,2158,,23,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class = 'center'><p>During the task, please focus your gaze at   the plus sign in the middle.<br>Even though the faces appear to the left    and right of the plus sign, it is important that you look at the plus     sign at all times.</p>    <p>Press either the 'D' or the 'K' keys to continue.</p></div>""]",1,,1
,,,98,,,,,,,630920,,,0.0-8.0-100.0,32,12290,,24,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class = 'center'><p>This is a break.</p>  <p>Press the space bar to continue.</p>""]",1,,1
,,,149,,,,,,,947345,,,0.0-8.0-202.0,32,41921,,25,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class = 'center'><p>This is a break.</p>  <p>Press the space bar to continue.</p>""]",1,,1
,,,200,,,,,,,1201573,,,0.0-8.0-304.0,32,1437,,26,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"[u""<div class = 'center'><p>This is a break.</p>  <p>Press the space bar to continue.</p>""]",1,,1
,,,251,,,,,,,1438262,,,0.0-9.0,32,4327,,27,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"<div class='center'>You have completed this part of the study.    <p>You will now answer several questions. Please answer them sincerely,     we remind you that your answers are completely annonymous.</p>    <p align='center'><i>Press the space bar to continue.</i></p></div>",1,,1
,,,252,,,,,,,1455440,,,0.0-10.0,,17120,"{""Q0"":""27"",""Q1"":""yes""}",28,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,survey-text,,,,1,,1
,,,253,,,,,,,1464490,,,0.0-11.0,,8817,"{""Q0"":""Male"",""Q1"":""Right"",""Q2"":""Yes""}",29,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,survey-multi-choice,,,,1,,1
,,,254,,,,,,,1469246,,,0.0-12.0,,4608,"{""Q0"":4}",30,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,survey-likert,,,,1,,1
,,,255,,,,,,,1477632,,,0.0-13.0,,8295,"{""Q0"":""no""}",31,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,survey-text,,,,1,,1
,,,256,,,,,,,1486632,,,0.0-14.0,,8987,"{""Q0"":""Heterosexual or straight"",""Q1"":""Only attracted to females""}",32,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,survey-multi-choice,,,,1,,1
,,,257,,,,,,,1489023,,,0.0-15.0,32,2388,,33,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"<div class='center'><p>You will now be presented with a few more statements.	Please read each statement carfully, and indicate the degree to which you agree or disagree with it.</p>    <p>We remind you that your answers are completely annonymous.</p>    <p align='center'><i>Press the space bar to continue.</i></p></div>",1,,1
,,,258,,,,,,Affirmative action,1492304,,,0.0-16.0,,3277,"{""Q0"":5}",34,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,True,,survey-likert,,,,1,,1
,,,259,,,,,,Iraq,1494967,,,0.0-17.0,,2660,"{""Q0"":5}",35,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,True,,survey-likert,,,,1,,1
,,,260,,,,,,Stem Cell,1497784,,,0.0-18.0,,2813,"{""Q0"":5}",36,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,True,,survey-likert,,,,1,,1
,,,261,,,,,,Abortion,1500023,,,0.0-19.0,,2237,"{""Q0"":5}",37,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,True,,survey-likert,,,,1,,1
